id;title;description;min_salary;max_salary;start_date;end_date;photo_url;recruiter_id
1;Développeur H/F;Developpement Front;400;600;null;null;https://htpratique.com/wp-content/uploads/2013/12/html-css.jpg;1
2;Architecte H/F;Architecture logicielle;600;800;null;null;http://diablotronic.free.fr/Pydiago/_images/Architecture.png;1
3;Designer H/F;Du design à 100% !;300;400;null;null;http://kestrelwebsitedesign.com/wp-content/uploads/2016/03/webdesign.png;1
4;Chef de projet AMOA H/F;Management à fond !;600;800;null;null;http://www.adequajob.fr/uploads/spimages/bd79928dc10b302c4a633090cf3db72acad623c1.jpg;1
5;Chef de projet junior H/F;Nous cherchons un petit leader !;400;500;null;null;http://www.diabolocom.com/wp-content/uploads/2015/11/Untitled-8.png;2
6;Développeur PHP H/F;Developpement serveur PHP;400;500;null;null;http://devstickers.com/assets/img/pro/v5kl.png;2
7;Développeur Front H/F;Developpement Front AngularJS + TypeScript;400;700;null;null;http://www.userlogos.org/files/logos/2690_fernandosantucci/angular.io-logo.png;2
8;Expert technique Back H/F;Expertise Spring;600;900;null;null;http://stormpath.com/wp-content/uploads/2016/05/spring-boot-logo.jpg;2
9;Chef de projet H/F;Cherche pilote de projet 3 années d'expérience;700;900;null;null;http://www.dyal-formation.fr/uploads/images/formations/Fotolia_44433776_XS.jpg;2
10;Coach agile H/F;Cherche coach agile / SCRUM;600;800;null;null;http://static.wixstatic.com/media/8474ff_e2ab8f37466247928ecd0df2f605e788~mv2.jpg;2
